iter	Passed	Remaining
419	2647	3655
420	2665	3666
421	2672	3660
422	2693	3673
423	2697	3664
424	2706	3661
425	2709	3650
426	2752	3694
427	2759	3687
428	2772	3689
429	2775	3679
430	2821	3725
431	2835	3728
432	2839	3718
433	2842	3707
434	2847	3698
435	2850	3687
436	2853	3676
437	2857	3666
438	2860	3655
439	2862	3643
440	2864	3630
441	2867	3619
442	2874	3614
443	2878	3604
444	2881	3593
445	2888	3587
446	2893	3579
447	2895	3567
448	2897	3555
449	2905	3550
450	2908	3540
451	2910	3529
452	2913	3517
453	2917	3508
454	2919	3497
455	2922	3486
456	2924	3474
457	2925	3462
458	2928	3451
459	2936	3446
460	2938	3435
461	2940	3424
462	2943	3413
463	2944	3401
464	2949	3393
465	2951	3381
466	2953	3370
467	2954	3358
468	2957	3348
469	2959	3337
470	2965	3330
471	2968	3320
472	2971	3311
473	2975	3302
474	2996	3311
475	2999	3301
476	3002	3292
477	3007	3284
478	3010	3274
479	3013	3264
480	3016	3254
481	3018	3243
482	3027	3240
483	3031	3231
484	3038	3226
485	3041	3216
486	3045	3208
487	3048	3198
488	3058	3195
489	3060	3185
490	3065	3177
491	3072	3172
492	3074	3161
493	3077	3152
494	3080	3142
495	3086	3136
496	3090	3127
497	3094	3119
498	3099	3111
499	3102	3102
500	3104	3092
501	3106	3082
502	3109	3071
503	3113	3063
504	3116	3054
505	3118	3044
506	3120	3034
507	3122	3024
508	3125	3014
509	3128	3005
510	3131	2996
511	3133	2986
512	3136	2977
513	3139	2968
514	3143	2959
515	3147	2952
516	3149	2942
517	3151	2932
518	3153	2922
519	3155	2912
520	3162	2907
521	3164	2897
522	3166	2888
523	3169	2879
524	3176	2874
525	3182	2868
526	3184	2858
527	3189	2851
528	3193	2843
529	3196	2834
530	3199	2826
531	3208	2822
532	3211	2814
533	3214	2805
534	3223	2802
535	3226	2793
536	3230	2785
537	3233	2776
538	3242	2773
539	3245	2764
540	3247	2755
541	3253	2749
542	3256	2740
543	3265	2736
544	3267	2727
545	3270	2719
546	3273	2710
547	3275	2701
548	3279	2694
549	3283	2686
550	3284	2676
551	3289	2669
552	3297	2665
553	3301	2657
554	3303	2648
555	3306	2640
556	3311	2633
557	3315	2626
558	3317	2617
559	3322	2610
560	3325	2601
561	3328	2594
562	3335	2589
563	3338	2581
564	3342	2573
565	3347	2566
566	3351	2559
567	3354	2550
568	3355	2541
569	3358	2533
570	3362	2526
571	3365	2518
572	3369	2510
573	3374	2504
574	3378	2497
575	3381	2489
576	3384	2481
577	3386	2472
578	3389	2464
579	3392	2456
580	3395	2448
581	3397	2440
582	3400	2432
583	3402	2423
584	3411	2419
585	3413	2411
586	3415	2403
587	3417	2394
588	3423	2388
589	3426	2381
590	3428	2372
591	3431	2364
592	3433	2356
593	3441	2352
594	3443	2343
595	3445	2335
596	3448	2327
597	3452	2321
598	3456	2314
599	3459	2306
600	3462	2298
601	3465	2291
602	3472	2286
603	3475	2278
604	3477	2270
605	3479	2262
606	3483	2255
607	3486	2248
608	3488	2239
609	3491	2232
610	3494	2225
611	3504	2221
